id,q1_time,q1_answer,q2_time,q2_answer,q3_time,q3_answer,q4_time,q4_answer,q5_time,q5_answer,q6_time,q6_answer,q7_time,q7_answer,q8_time,q8_answer,user_id,traditional_first,novel_first
1,510.705606,18,190.861546,10,53.960578,17,122.017961,10,487.953789,19,177.201618,N/A,99.752307,17,42.184612,18,4,,1
2,94.897176,19,51.835883,9.8,72.263621,31,48.45598,13.2,250.411948,17.6,207.069682,25.3,80.277734,16.5,97.321845,9.8,3,1,
3,334.165313,17.6,51.781596,9.8,54.193613,30.5,60.235409,N/A,98.989053,N/A,154.557943,25.3,38.717471,16.5,335.856717,N/A,8,,1
4,428.389406,18,56.872476,10,58.337025,30,254.748417,20,176.345004,N/A,113.698189,N/A,49.469013,17,36.505504,18,12,,1
6,117.43306,25,87.477355,9.8,101.47401,31,43.31615,13.2,293.44293,35,829.666017,N/A,44.411493,16.5,12.938656,10,13,1,
7,150.792063,2,22.793342,4,33.530006,4,24.022828,N/A,3.931046,N/A,45.672983,0,73.231535,5,91.504449,1,14,,1
8,183.934787,15,138.275113,13.6,200.874282,12,70.663144,13.2,373.9625,7,162.137671,25,66.899098,2.4,115.679994,2,11,1,
9,108.926698,25,145.958505,10,1418.997467,20,485.019123,20,75.546989,10,19.697516,20,86.896725,1,86.922054,1,19,1,
10,448.469336,19,233.728424,3,237.664328,19,204.618496,20,847.722006,10,154.039739,50,84.533797,40,117.073268,20,15,1,
11,929.445933,17,92.54113,9.8,250.63781,30.3,407.572786,3,345.106161,20,215.670458,N/A,113.465376,16.5,108.883597,18,18,,1
12,100.61422,17,127.279061,9.8,84.683863,14,67.363739,13.2,169.645077,7.6,130.550545,25,75.360489,16.5,107.731577,5,17,1,
13,187.132375,19,144.655357,8.8,73.025631,11%,125.24222,19.5%,179.883179,10%,639.466616,25.3,107.792841,16.5,209.474762,2.5,23,1,
14,204.178856,18,35.984981,10,48.716863,30,224.634052,2,64.900068,20,117.003695,N/A,40.053743,16.5,55.674948,18,26,,1
15,165.395407,16.9,189.828506,9.8,247.790793,30.3,701.659354,0.9,148.359583,NA,215.008916,NA,225.293622,16.5,126.408445,7.8,20,,1
16,206.553492,19,81.603914,9.8,102.01547,31,55.384248,13.2,441.139411,9,203.62314,25.3,82.540586,16.5,204.049677,6.5,25,1,
